Order;Sample ID;Sample description;BioProject;Run - SRA;Sequencing techniques;Sequencing paper;Paper also using it;Download;Origin grains;;;
99;G4_S76;24;PRJEB65292;ERR11865354;ILLUMINA, NextSeq 500, paired-end;https://doi.org/10.1016/j.isci.2023.108004;na;y;na;;;
36;G6_S78;8;PRJEB65292;ERR11865356;ILLUMINA, NextSeq 500, paired-end;https://doi.org/10.1016/j.isci.2023.108004;na;y;na;;;
100;G8_S80;24;PRJEB65292;ERR11865358;ILLUMINA, NextSeq 500, paired-end;https://doi.org/10.1016/j.isci.2023.108004;na;y;na;;;
101;G9_S81;24;PRJEB65292;ERR11865359;ILLUMINA, NextSeq 500, paired-end;https://doi.org/10.1016/j.isci.2023.108004;na;y;na;;;
37;H10_S94;8;PRJEB65292;ERR11865360;ILLUMINA, NextSeq 500, paired-end;https://doi.org/10.1016/j.isci.2023.108004;na;y;na;;;
102;H12_S96;24;PRJEB65292;ERR11865362;ILLUMINA, NextSeq 500, paired-end;https://doi.org/10.1016/j.isci.2023.108004;na;y;na;;;
38;H2_S86;8;PRJEB65292;ERR11865364;ILLUMINA, NextSeq 500, paired-end;https://doi.org/10.1016/j.isci.2023.108004;na;y;na;;;
103;H4_S88;24;PRJEB65292;ERR11865367;ILLUMINA, NextSeq 500, paired-end;https://doi.org/10.1016/j.isci.2023.108004;na;y;na;;;
39;H6_S90;8;PRJEB65292;ERR11865369;ILLUMINA, NextSeq 500, paired-end;https://doi.org/10.1016/j.isci.2023.108004;na;y;na;;;
104;H8_S92;24;PRJEB65292;ERR11865371;ILLUMINA, NextSeq 500, paired-end;https://doi.org/10.1016/j.isci.2023.108004;na;y;na;;;
40;I10_S106;8;PRJEB65292;ERR11865373;ILLUMINA, NextSeq 500, paired-end;https://doi.org/10.1016/j.isci.2023.108004;na;y;na;;;
105;I12_S108;24;PRJEB65292;ERR11865375;ILLUMINA, NextSeq 500, paired-end;https://doi.org/10.1016/j.isci.2023.108004;na;y;na;;;
41;I2_S98;8;PRJEB65292;ERR11865377;ILLUMINA, NextSeq 500, paired-end;https://doi.org/10.1016/j.isci.2023.108004;na;y;na;;;
106;I4_S100;24;PRJEB65292;ERR11865379;ILLUMINA, NextSeq 500, paired-end;https://doi.org/10.1016/j.isci.2023.108004;na;y;na;;;
