"sample","tFermentation","bioproject","sequenceur","origin","short_name","count"
"ERR14783503","24h every 1-3 day for 17 week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK","ACRF",1
"ERR14783503","24h every 1-3 day for 17 week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK","CMY",2
"ERR14783503","24h every 1-3 day for 17 week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK","OMP36",1
"ERR14783503","24h every 1-3 day for 17 week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK","OMPA",1
"ERR14783503","24h every 1-3 day for 17 week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK","OMPFB",1
"ERR14783509","24h every 1-3 day for 1 week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK","RPOCL",1
"ERR14783510","24h every 1-3 day for 9  week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK","ACRB",1
"ERR14783510","24h every 1-3 day for 9  week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK","EVGS",1
"ERR14783510","24h every 1-3 day for 9  week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK","O23S",1
"ERR14783510","24h every 1-3 day for 9  week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK","OMPK36",2
"ERR14783510","24h every 1-3 day for 9  week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK","RAHN",1
"ERR14783511","24h every 1-3 day for 17 week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK",NA,NA
"ERR14783512","24h every 1-3 day for 21 week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK",NA,NA
"ERR14783519","24h every 1-3 day for 1 week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK",NA,NA
"ERR14783521","24h every 1-3 day for 9 week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK","ACRB",1
"ERR14783521","24h every 1-3 day for 9 week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK","O23S",1
"ERR14783521","24h every 1-3 day for 9 week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK","OMP36",2
"ERR14783522","24h every 1-3 day for 13 week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK","O23S",1
"ERR14783522","24h every 1-3 day for 13 week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK","OMP36",2
"ERR14783523","24h every 1-3 day for 17 week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK","O23S",1
"ERR14783524","24h every 1-3 day for 21 week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK","ACRB",2
"ERR14783524","24h every 1-3 day for 21 week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK","CRP",1
"ERR14783524","24h every 1-3 day for 21 week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK","O23S",1
"ERR14783524","24h every 1-3 day for 21 week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK","OMP36",2
"ERR14783524","24h every 1-3 day for 21 week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK","OMPA",1
"ERR14783524","24h every 1-3 day for 21 week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK","OMPF",1
"ERR14783524","24h every 1-3 day for 21 week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK","OQXB",1
"ERR14783530","24h every 1-3 day for 9 week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK",NA,NA
"ERR14783532","24h every 1-3 day for 17 week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK",NA,NA
"ERR14783538","24h every 1-3 day for 1 week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK","ACRB",4
"ERR14783538","24h every 1-3 day for 1 week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK","CRP",1
"ERR14783538","24h every 1-3 day for 1 week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK","CTX",1
"ERR14783538","24h every 1-3 day for 1 week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK","HNS",1
"ERR14783538","24h every 1-3 day for 1 week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK","O23S",1
"ERR14783538","24h every 1-3 day for 1 week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK","OMP36",1
"ERR14783538","24h every 1-3 day for 1 week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK","OMPA",1
"ERR14783538","24h every 1-3 day for 1 week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK","OMPFB",1
"ERR14783538","24h every 1-3 day for 1 week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK","OQXA",2
"ERR14783538","24h every 1-3 day for 1 week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK","OQXB",1
"ERR14783539","24h every 1-3 day for 5 week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK","BLAC",1
"ERR14783539","24h every 1-3 day for 5 week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK","O23S",1
"ERR14783539","24h every 1-3 day for 5 week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK","OMP36",2
"ERR14783541","24h every 1-3 day for 13 week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK","ACRA",1
"ERR14783541","24h every 1-3 day for 13 week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK","ACRB",1
"ERR14783541","24h every 1-3 day for 13 week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK","ACRR",1
"ERR14783541","24h every 1-3 day for 13 week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK","CRP",1
"ERR14783541","24h every 1-3 day for 13 week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK","EVGA",1
"ERR14783541","24h every 1-3 day for 13 week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK","EVGS",1
"ERR14783541","24h every 1-3 day for 13 week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK","GADW",1
"ERR14783541","24h every 1-3 day for 13 week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK","GADX",1
"ERR14783541","24h every 1-3 day for 13 week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK","HNS",1
"ERR14783541","24h every 1-3 day for 13 week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK","LIAFSR",4
"ERR14783541","24h every 1-3 day for 13 week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK","MARA",1
"ERR14783541","24h every 1-3 day for 13 week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK","MARR",1
"ERR14783541","24h every 1-3 day for 13 week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK","MDTE",1
"ERR14783541","24h every 1-3 day for 13 week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK","MDTF",1
"ERR14783541","24h every 1-3 day for 13 week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK","OMPFB",1
"ERR14783549","24h every 1-3 day for 5 week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK","MDEA",1
"ERR14783549","24h every 1-3 day for 5 week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK","O23S",1
"ERR14783550","24h every 1-3 day for 9 week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK","O23S",1
"ERR14783551","24h every 1-3 day for 13 week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK","O23S",1
"ERR14783553","24h every 1-3 day for 21 week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK","O23S",1
"ERR14783783","24h every 1-3 day for 1 week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK","ACRA",1
"ERR14783783","24h every 1-3 day for 1 week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK","CRP",1
"ERR14783783","24h every 1-3 day for 1 week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK","CTX",1
"ERR14783783","24h every 1-3 day for 1 week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK","O23S",1
"ERR14783783","24h every 1-3 day for 1 week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK","OMPK36",1
"ERR14783783","24h every 1-3 day for 1 week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK","OQXA",1
"ERR14783783","24h every 1-3 day for 1 week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK","OQXB",1
"ERR14783783","24h every 1-3 day for 1 week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK","OXY",1
"ERR14783784","24h every 1-3 day for 5 week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK","ACRA",1
"ERR14783784","24h every 1-3 day for 5 week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK","CTX",1
"ERR14783784","24h every 1-3 day for 5 week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK","O23S",1
"ERR14783784","24h every 1-3 day for 5 week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK","OQXA",1
"ERR14783784","24h every 1-3 day for 5 week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK","OQXB",1
"ERR14783784","24h every 1-3 day for 5 week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK","OXY",1
"ERR14783785","24h every 1-3 day for 9 week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK","ACRB",1
"ERR14783785","24h every 1-3 day for 9 week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK","CRP",1
"ERR14783785","24h every 1-3 day for 9 week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK","CTX",1
"ERR14783785","24h every 1-3 day for 9 week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK","O23S",1
"ERR14783785","24h every 1-3 day for 9 week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK","OMPK36",1
"ERR14783785","24h every 1-3 day for 9 week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK","OQXA",1
"ERR14783785","24h every 1-3 day for 9 week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK","OQXB",1
"ERR14783785","24h every 1-3 day for 9 week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK","OXY",1
"ERR14783786","24h every 1-3 day for 13 week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK","O23S",1
"ERR14783787","24h every 1-3 day for 17 week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK","ACRB",2
"ERR14783787","24h every 1-3 day for 17 week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK","ACRR",1
"ERR14783787","24h every 1-3 day for 17 week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK","CMY",1
"ERR14783787","24h every 1-3 day for 17 week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK","HNS",1
"ERR14783787","24h every 1-3 day for 17 week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK","MDEA",1
"ERR14783787","24h every 1-3 day for 17 week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK","MIR",1
"ERR14783787","24h every 1-3 day for 17 week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK","O23S",1
"ERR14783787","24h every 1-3 day for 17 week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK","OMPA",2
"ERR14783787","24h every 1-3 day for 17 week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK","RAMR",1
"ERR14783788","24h every 1-3 day for 21 week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK","ACRA",1
"ERR14783788","24h every 1-3 day for 21 week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK","ACRB",1
"ERR14783788","24h every 1-3 day for 21 week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK","ACRF",1
"ERR14783788","24h every 1-3 day for 21 week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK","CMY",1
"ERR14783788","24h every 1-3 day for 21 week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK","MARA",1
"ERR14783788","24h every 1-3 day for 21 week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK","O23S",1
"ERR14783788","24h every 1-3 day for 21 week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK","OMP36",2
"ERR14783788","24h every 1-3 day for 21 week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK","OMPA",1
"ERR14783788","24h every 1-3 day for 21 week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK","OMPFB",1
"ERR14783788","24h every 1-3 day for 21 week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK","ROBA",1
"ERR14783792","24h every 1-3 day for 1 week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK",NA,NA
"ERR14783793","24h every 1-3 day for 5 week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK",NA,NA
"ERR14783794","24h every 1-3 day for 9 week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK",NA,NA
"ERR14783795","24h every 1-3 day for 17 week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK",NA,NA
"ERR14783796","24h every 1-3 day for 21 week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK","ACRB",2
"ERR14783796","24h every 1-3 day for 21 week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK","LAQ",1
"ERR14783796","24h every 1-3 day for 21 week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK","OMP36",1
"ERR14783796","24h every 1-3 day for 21 week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK","OMPA",1
"ERR14783802","24h every 1-3 day for 13 week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK",NA,NA
"ERR14783805","24h every 1-3 day for 1 week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK",NA,NA
"ERR14783806","24h every 1-3 day for 1 week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK",NA,NA
"ERR14783809","24h every 1-3 day for 1 week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK",NA,NA
"ERR14783810","24h every 1-3 day for 1 week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK",NA,NA
"ERR14783811","24h every 1-3 day for 5 week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK",NA,NA
"ERR14783812","24h every 1-3 day for 5 week","PRJEB77409","Illumina NovaSeq 6000, paired-end","Every Good Thing, UK",NA,NA
"SRR13801804","48","PRJNA704713","Illumina, NextSeq 500, paired-end","Mexique",NA,NA
"SRR13801805","48","PRJNA704713","Illumina, NextSeq 500, paired-end","Mexique",NA,NA
"SRR7287342","48","PRJNA388572","Illumina HiSeq 2500, paired-end","Chile","CTX",1
"SRR7287342","48","PRJNA388572","Illumina HiSeq 2500, paired-end","Chile","HNS",1
"SRR7287342","48","PRJNA388572","Illumina HiSeq 2500, paired-end","Chile","OMP36",2
"SRR7287342","48","PRJNA388572","Illumina HiSeq 2500, paired-end","Chile","OMPA",1
"SRR7287342","48","PRJNA388572","Illumina HiSeq 2500, paired-end","Chile","OMPK36",1
"SRR7287342","48","PRJNA388572","Illumina HiSeq 2500, paired-end","Chile","OQXB",1
"SRR8282406","48","PRJNA388572","Illumina HiSeq 4000, paired-end","Chile","HNS",1
"SRR8282406","48","PRJNA388572","Illumina HiSeq 4000, paired-end","Chile","OMP36",1
