"sample","tFermentation","bioproject","sequenceur","origin","short_name","count"
"ERR11865407","24","PRJEB65292","ILLUMINA, NextSeq 500, paired-end","na",NA,NA
"ERR11865409","8","PRJEB65292","ILLUMINA, NextSeq 500, paired-end","na",NA,NA
"ERR11865411","24","PRJEB65292","ILLUMINA, NextSeq 500, paired-end","na","O23S",1
"ERR11865413","8","PRJEB65292","ILLUMINA, NextSeq 500, paired-end","na",NA,NA
"ERR11865415","24","PRJEB65292","ILLUMINA, NextSeq 500, paired-end","na",NA,NA
"ERR11865417","8","PRJEB65292","ILLUMINA, NextSeq 500, paired-end","na",NA,NA
"ERR11865419","24","PRJEB65292","ILLUMINA, NextSeq 500, paired-end","na",NA,NA
"ERR11865421","8","PRJEB65292","ILLUMINA, NextSeq 500, paired-end","na",NA,NA
"ERR11865423","24","PRJEB65292","ILLUMINA, NextSeq 500, paired-end","na",NA,NA
"ERR11865425","8","PRJEB65292","ILLUMINA, NextSeq 500, paired-end","na",NA,NA
"ERR11865427","24","PRJEB65292","ILLUMINA, NextSeq 500, paired-end","na",NA,NA
"ERR11865429","8","PRJEB65292","ILLUMINA, NextSeq 500, paired-end","na",NA,NA
"ERR11865431","24","PRJEB65292","ILLUMINA, NextSeq 500, paired-end","na",NA,NA
"ERR11865433","8","PRJEB65292","ILLUMINA, NextSeq 500, paired-end","na",NA,NA
"ERR11865435","24","PRJEB65292","ILLUMINA, NextSeq 500, paired-end","na",NA,NA
"ERR11865437","8","PRJEB65292","ILLUMINA, NextSeq 500, paired-end","na",NA,NA
"ERR11865439","24","PRJEB65292","ILLUMINA, NextSeq 500, paired-end","na",NA,NA
"ERR11865441","8","PRJEB65292","ILLUMINA, NextSeq 500, paired-end","na","O23S",1
"ERR11865443","24","PRJEB65292","ILLUMINA, NextSeq 500, paired-end","na","O23S",1
"ERR11865445","8","PRJEB65292","ILLUMINA, NextSeq 500, paired-end","na",NA,NA
"ERR11865447","24","PRJEB65292","ILLUMINA, NextSeq 500, paired-end","na",NA,NA
"ERR11865449","8","PRJEB65292","ILLUMINA, NextSeq 500, paired-end","na","O23S",1
"ERR11865451","24","PRJEB65292","ILLUMINA, NextSeq 500, paired-end","na","O23S",1
"ERR11865453","8","PRJEB65292","ILLUMINA, NextSeq 500, paired-end","na",NA,NA
