sample,Colocalization,Shannon,,,
ERR14783429,19,"1,174002456",,,
ERR14783456,19,"0,2639991619",,,
ERR11865544,20,"0,3197659393",,,
ERR11865548,20,"0,6195394474",,,
ERR11865552,20,"0,431736352",,,
ERR14783408,20,"1,957262808",,,
ERR14783427,20,"0,8446301062",,,
ERR14783475,20,"0,4973275591",,,
ERR14783502,20,"0,2403670192",,,
ERR11865560,21,"0,1141385094",,,
ERR14783386,21,"1,601036025",,,
ERR14783794,21,"1,691446735",,,
ERR14783455,23,"0,1024605521",,,
ERR14783530,24,N/A,,,
ERR14783466,25,"1,427696828",,,
ERR14783474,25,N/A,,,
ERR14783810,26,"1,413976105",,,
ERR14783521,28,"1,459994865",,,
ERR14783493,30,N/A,,,
ERR14783512,36,"2,107956832",,,
ERR14783384,38,"2,217103189",,,
ERR14783464,38,"1,965660471",,,
ERR14783487,38,"1,692331528",,,
ERR14783524,38,"2,228629925",,,
ERR14783385,39,N/A,,,
SRR8282406,39,N/A,,,
ERR14783549,41,"2,331827169",,,
ERR14783485,45,"2,105122165",,,
ERR14783400,46,"1,829326244",,,
ERR14783509,47,"2,200928791",,,
ERR14783796,47,"2,29719405",,,
ERR11865387,49,"0,8244382449",,,
ERR11865423,49,"0,213602526",,,
ERR11865459,49,"1,103104862",,,
ERR11865401,50,"0,4052865732",,,
ERR11865399,52,"0,6283164951",,,
ERR11865403,53,"0,7979427584",,,
ERR11865491,53,"0,3711737146",,,
ERR11865443,54,"0,6415493833",,,
ERR14783786,54,"2,42313905",,,
ERR14783433,55,"2,015051498",,,
ERR11865508,57,"0,6466164344",,,
ERR14783510,61,"1,934378074",,,
ERR14783788,61,"1,877238269",,,
ERR14783402,67,"2,271882539",,,
SRR7287342,68,N/A,,,
ERR14783393,69,N/A,,,
ERR11865495,70,"0,9621532973",,,
ERR14783424,74,"1,644800548",,,
ERR14783784,82,"1,270615412",,,
ERR14783785,89,"1,078816697",,,
ERR14783503,90,"1,012449752",,,
ERR14783541,94,"1,237725114",,,
ERR14783783,95,"1,144392453",,,
ERR14783391,100,"2,659419406",,,
ERR14783539,103,"1,77601211",,,
ERR14783425,109,"2,249586507",,,
ERR14783501,111,N/A,,,
ERR14783416,125,N/A,,,
ERR14783787,130,"2,6817649",,,
ERR14783538,197,"2,722494631",,,
