sample,Lactococcus cremoris,Lactobacillus kefiranofaciens,Lactobacillus helveticus,Lactococcus lactis,Lentilactobacillus kefiri,Leuconostoc mesenteroides,Pseudolactococcus raffinolactis,Acinetobacter sp. TTH0-4,Pseudomonas helleri,Acetobacter orientalis,Other <0.005%,Streptococcus thermophilus,Pseudomonas lundensis,Macrococcoides caseolyticum,Hafnia paralvei,Pseudomonas brenneri,Lactococcus sp.,Streptococcus parauberis,Thermus thermophilus,Leuconostoc falkenbergense,Pseudolactococcus piscium,Acetobacter ghanensis,Pseudomonas saxonica,Carnobacterium maltaromaticum,Kluyvera intermedia,Saccharomyces cerevisiae,Kluyveromyces marxianus,Lelliottia amnigena,Pseudomonas putida,Klebsiella sp. HC6,Bacillus mycoides,Pantoea agglomerans,Clostridium saccharobutylicum,Pseudolactococcus carnosus,Pseudomonas lurida,Paenibacillus sp. FSL H8-0332,Pseudomonas sp. B21128,Propionibacterium freudenreichii,Klebsiella grimontii,Yersinia alsatica,Duffyella gerundensis,Clostridium beijerinckii,Pseudolactococcus paracarnosus,Yarrowia lipolytica,Pseudomonas azotoformans,Clostridium tyrobutyricum,Pseudomonas sp. FP453,Pseudomonas moraviensis,Acinetobacter towneri,Leclercia adecarboxylata,Rahnella aceris,Pseudomonas sp. S3_B08,Kluyvera cryocrescens,Pseudomonas rustica,Superficieibacter sp. BNK-5,Pseudomonas sp. SD17-1,Janthinobacterium sp. J1-1,Maaswegvirus Kp24,Staphylococcus sp. IVB6181,Citrobacter freundii complex sp. CFNIH3,Macrococcus psychrotolerans,Lactococcus phage 63301,Bacillus sp. WC2507,Enterobacter sp. RHBSTW-00901,Pseudomonas sp. SC3(2021),Bordetella bronchiseptica
ERR11865307,0.55,0.55,0,0.73,0.16,0,0.35,0,0,0,0.01,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERR11865308,4.83,0.03,0.2,0.05,0.03,0.02,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERR11865310,4.52,0.16,0.65,0.03,0.07,0.02,0,0,0,0.01,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERR11865312,5.88,0.04,0,0.04,0.08,0,0.01,0,0.02,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERR11865314,6.21,0.06,0,0.07,0.08,0,0.02,0,0,0.01,0.01,0,0,0,0,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERR11865316,2.76,1.59,0.24,0.19,0.46,0,0,0,0,0.03,0,0,0.06,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERR11865318,4.79,0.35,0.18,0.07,0.14,0,0,0,0,0.03,0,0,0.01,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERR11865320,0,4.68,0.89,0,0.93,0,0,0,0.04,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERR11865322,0.17,1.41,1.9,0.15,0.33,0,0,0,0.32,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERR11865324,2.34,0.36,0,0.01,0.04,0,0.04,0,0.79,0,0,0,0.45,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERR11865326,4.45,0.14,0,0.02,0.03,0.01,0.77,0,0.44,0,0,0,0.06,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERR11865328,0.74,3.59,0.01,0.06,0.45,0,0,0,0.57,0,0.03,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERR11865330,4.96,0.26,0,0.19,0.05,0.01,0,0,0.11,0,0.01,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERR11865332,0.58,2.41,0.01,0,0.28,0,0.03,0,0.65,0,0,0,0.37,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERR11865334,4.61,0.48,0,0.02,0.08,0.01,0.16,0,0.26,0,0,0,0.07,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERR11865335,5.37,0.29,0,0.03,0.07,0.01,0.16,0,0.06,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERR11865336,0.55,4.65,0.01,0.03,1.64,0,0,0,0.27,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERR11865338,5.09,0.26,0,0.16,0.16,0.01,0,0,0.27,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERR11865340,0.88,2.99,0.01,0.07,0.16,0,0,0,0.86,0,0.02,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERR11865342,4.17,0.17,0,0.31,0.03,0.01,0,0,0.13,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERR11865344,0.05,0.08,0,0.02,0.07,2.88,0,0,0.1,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERR11865346,2.38,0,0,0.52,0.01,0.55,0.01,0,0.18,0,0.01,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
