tFermentation;bioproject;sample;sequenceur;origin;;;
24;PRJEB65292;ERR11865419;ILLUMINA, NextSeq 500, paired-end;na;;;
8;PRJEB65292;ERR11865421;ILLUMINA, NextSeq 500, paired-end;na;;;
24;PRJEB65292;ERR11865423;ILLUMINA, NextSeq 500, paired-end;na;;;
8;PRJEB65292;ERR11865425;ILLUMINA, NextSeq 500, paired-end;na;;;
24;PRJEB65292;ERR11865427;ILLUMINA, NextSeq 500, paired-end;na;;;
8;PRJEB65292;ERR11865429;ILLUMINA, NextSeq 500, paired-end;na;;;
24;PRJEB65292;ERR11865431;ILLUMINA, NextSeq 500, paired-end;na;;;
8;PRJEB65292;ERR11865433;ILLUMINA, NextSeq 500, paired-end;na;;;
24;PRJEB65292;ERR11865435;ILLUMINA, NextSeq 500, paired-end;na;;;
8;PRJEB65292;ERR11865437;ILLUMINA, NextSeq 500, paired-end;na;;;
24;PRJEB65292;ERR11865439;ILLUMINA, NextSeq 500, paired-end;na;;;
8;PRJEB65292;ERR11865441;ILLUMINA, NextSeq 500, paired-end;na;;;
24;PRJEB65292;ERR11865443;ILLUMINA, NextSeq 500, paired-end;na;;;
8;PRJEB65292;ERR11865445;ILLUMINA, NextSeq 500, paired-end;na;;;
24;PRJEB65292;ERR11865447;ILLUMINA, NextSeq 500, paired-end;na;;;
8;PRJEB65292;ERR11865449;ILLUMINA, NextSeq 500, paired-end;na;;;
24;PRJEB65292;ERR11865451;ILLUMINA, NextSeq 500, paired-end;na;;;
8;PRJEB65292;ERR11865453;ILLUMINA, NextSeq 500, paired-end;na;;;
24;PRJEB65292;ERR11865455;ILLUMINA, NextSeq 500, paired-end;na;;;
8;PRJEB65292;ERR11865457;ILLUMINA, NextSeq 500, paired-end;na;;;
24;PRJEB65292;ERR11865459;ILLUMINA, NextSeq 500, paired-end;na;;;
8;PRJEB65292;ERR11865461;ILLUMINA, NextSeq 500, paired-end;na;;;
24;PRJEB65292;ERR11865463;ILLUMINA, NextSeq 500, paired-end;na;;;
8;PRJEB65292;ERR11865465;ILLUMINA, NextSeq 500, paired-end;na;;;
24;PRJEB65292;ERR11865467;ILLUMINA, NextSeq 500, paired-end;na;;;
8;PRJEB65292;ERR11865469;ILLUMINA, NextSeq 500, paired-end;na;;;
24;PRJEB65292;ERR11865471;ILLUMINA, NextSeq 500, paired-end;na;;;
8;PRJEB65292;ERR11865473;ILLUMINA, NextSeq 500, paired-end;na;;;
24;PRJEB65292;ERR11865475;ILLUMINA, NextSeq 500, paired-end;na;;;
8;PRJEB65292;ERR11865477;ILLUMINA, NextSeq 500, paired-end;na;;;
24;PRJEB65292;ERR11865479;ILLUMINA, NextSeq 500, paired-end;na;;;
8;PRJEB65292;ERR11865481;ILLUMINA, NextSeq 500, paired-end;na;;;
24;PRJEB65292;ERR11865483;ILLUMINA, NextSeq 500, paired-end;na;;;
8;PRJEB65292;ERR11865485;ILLUMINA, NextSeq 500, paired-end;na;;;
24;PRJEB65292;ERR11865487;ILLUMINA, NextSeq 500, paired-end;na;;;
8;PRJEB65292;ERR11865489;ILLUMINA, NextSeq 500, paired-end;na;;;
24;PRJEB65292;ERR11865491;ILLUMINA, NextSeq 500, paired-end;na;;;
8;PRJEB65292;ERR11865493;ILLUMINA, NextSeq 500, paired-end;na;;;
24;PRJEB65292;ERR11865495;ILLUMINA, NextSeq 500, paired-end;na;;;
8;PRJEB65292;ERR11865497;ILLUMINA, NextSeq 500, paired-end;na;;;
24;PRJEB65292;ERR11865499;ILLUMINA, NextSeq 500, paired-end;na;;;
8;PRJEB65292;ERR11865501;ILLUMINA, NextSeq 500, paired-end;na;;;
24;PRJEB65292;ERR11865503;ILLUMINA, NextSeq 500, paired-end;na;;;
24;PRJEB65292;ERR11865508;ILLUMINA, NextSeq 500, paired-end;na;;;
8;PRJEB65292;ERR11865509;ILLUMINA, NextSeq 500, paired-end;na;;;
24;PRJEB65292;ERR11865511;ILLUMINA, NextSeq 500, paired-end;na;;;
8;PRJEB65292;ERR11865538;ILLUMINA, NextSeq 500, paired-end;na;;;
24;PRJEB65292;ERR11865540;ILLUMINA, NextSeq 500, paired-end;na;;;
8;PRJEB65292;ERR11865542;ILLUMINA, NextSeq 500, paired-end;na;;;
24;PRJEB65292;ERR11865544;ILLUMINA, NextSeq 500, paired-end;na;;;
8;PRJEB65292;ERR11865546;ILLUMINA, NextSeq 500, paired-end;na;;;
24;PRJEB65292;ERR11865548;ILLUMINA, NextSeq 500, paired-end;na;;;
24;PRJEB65292;ERR11865552;ILLUMINA, NextSeq 500, paired-end;na;;;
8;PRJEB65292;ERR11865554;ILLUMINA, NextSeq 500, paired-end;na;;;
24;PRJEB65292;ERR11865556;ILLUMINA, NextSeq 500, paired-end;na;;;
8;PRJEB65292;ERR11865558;ILLUMINA, NextSeq 500, paired-end;na;;;
24;PRJEB65292;ERR11865560;ILLUMINA, NextSeq 500, paired-end;na;;;
24h every 1-3 day for 1 week ;PRJEB77409;ERR14783384;Illumina NovaSeq 6000, paired-end;Every Good Thing, UK;;;
24h every 1-3 day for 1 week ;PRJEB77409;ERR14783385;Illumina NovaSeq 6000, paired-end;Every Good Thing, UK;;;
24h every 1-3 day for 5 week ;PRJEB77409;ERR14783386;Illumina NovaSeq 6000, paired-end;Every Good Thing, UK;;;
24h every 1-3 day for 1 week ;PRJEB77409;ERR14783390;Illumina NovaSeq 6000, paired-end;Every Good Thing, UK;;;
24h every 1-3 day for 1 week ;PRJEB77409;ERR14783391;Illumina NovaSeq 6000, paired-end;Every Good Thing, UK;;;
24h every 1-3 day for 5 week ;PRJEB77409;ERR14783392;Illumina NovaSeq 6000, paired-end;Every Good Thing, UK;;;
24h every 1-3 day for 5 week ;PRJEB77409;ERR14783393;Illumina NovaSeq 6000, paired-end;Every Good Thing, UK;;;
24h every 1-3 day for 1 week ;PRJEB77409;ERR14783399;Illumina NovaSeq 6000, paired-end;Every Good Thing, UK;;;
24h every 1-3 day for 5 week ;PRJEB77409;ERR14783400;Illumina NovaSeq 6000, paired-end;Every Good Thing, UK;;;
24h every 1-3 day for 13 week ;PRJEB77409;ERR14783401;Illumina NovaSeq 6000, paired-end;Every Good Thing, UK;;;
24h every 1-3 day for 21 week ;PRJEB77409;ERR14783402;Illumina NovaSeq 6000, paired-end;Every Good Thing, UK;;;
24h every 1-3 day for 1 week ;PRJEB77409;ERR14783408;Illumina NovaSeq 6000, paired-end;Every Good Thing, UK;;;
24h every 1-3 day for 9 week ;PRJEB77409;ERR14783409;Illumina NovaSeq 6000, paired-end;Every Good Thing, UK;;;
24h every 1-3 day for 13 week ;PRJEB77409;ERR14783410;Illumina NovaSeq 6000, paired-end;Every Good Thing, UK;;;
24h every 1-3 day for 17 week ;PRJEB77409;ERR14783411;Illumina NovaSeq 6000, paired-end;Every Good Thing, UK;;;
24h every 1-3 day for 9 week ;PRJEB77409;ERR14783416;Illumina NovaSeq 6000, paired-end;Every Good Thing, UK;;;
24h every 1-3 day for 21 week ;PRJEB77409;ERR14783418;Illumina NovaSeq 6000, paired-end;Every Good Thing, UK;;;
24h every 1-3 day for 1 week ;PRJEB77409;ERR14783424;Illumina NovaSeq 6000, paired-end;Every Good Thing, UK;;;
24h every 1-3 day for 5 week ;PRJEB77409;ERR14783425;Illumina NovaSeq 6000, paired-end;Every Good Thing, UK;;;
24h every 1-3 day for 13 week ;PRJEB77409;ERR14783426;Illumina NovaSeq 6000, paired-end;Every Good Thing, UK;;;
24h every 1-3 day for 17 week ;PRJEB77409;ERR14783427;Illumina NovaSeq 6000, paired-end;Every Good Thing, UK;;;
24h every 1-3 day for 1 week ;PRJEB77409;ERR14783429;Illumina NovaSeq 6000, paired-end;Every Good Thing, UK;;;
24h every 1-3 day for 5 week ;PRJEB77409;ERR14783433;Illumina NovaSeq 6000, paired-end;Every Good Thing, UK;;;
24h every 1-3 day for 9 week ;PRJEB77409;ERR14783434;Illumina NovaSeq 6000, paired-end;Every Good Thing, UK;;;
24h every 1-3 day for 1 week ;PRJEB77409;ERR14783439;Illumina NovaSeq 6000, paired-end;Every Good Thing, UK;;;
24h every 1-3 day for 5 week ;PRJEB77409;ERR14783440;Illumina NovaSeq 6000, paired-end;Every Good Thing, UK;;;
24h every 1-3 day for 9 week ;PRJEB77409;ERR14783441;Illumina NovaSeq 6000, paired-end;Every Good Thing, UK;;;
24h every 1-3 day for 13 week ;PRJEB77409;ERR14783442;Illumina NovaSeq 6000, paired-end;Every Good Thing, UK;;;
24h every 1-3 day for 5 week ;PRJEB77409;ERR14783446;Illumina NovaSeq 6000, paired-end;Every Good Thing, UK;;;
24h every 1-3 day for 13 week ;PRJEB77409;ERR14783447;Illumina NovaSeq 6000, paired-end;Every Good Thing, UK;;;
24h every 1-3 day for 1 week ;PRJEB77409;ERR14783453;Illumina NovaSeq 6000, paired-end;Every Good Thing, UK;;;
24h every 1-3 day for 5 week ;PRJEB77409;ERR14783454;Illumina NovaSeq 6000, paired-end;Every Good Thing, UK;;;
24h every 1-3 day for 5 week ;PRJEB77409;ERR14783455;Illumina NovaSeq 6000, paired-end;Every Good Thing, UK;;;
24h every 1-3 day for 17 week ;PRJEB77409;ERR14783456;Illumina NovaSeq 6000, paired-end;Every Good Thing, UK;;;
24h every 1-3 day for 5 week ;PRJEB77409;ERR14783459;Illumina NovaSeq 6000, paired-end;Every Good Thing, UK;;;
24h every 1-3 day for 9 week ;PRJEB77409;ERR14783460;Illumina NovaSeq 6000, paired-end;Every Good Thing, UK;;;
24h every 1-3 day for 1 week ;PRJEB77409;ERR14783464;Illumina NovaSeq 6000, paired-end;Every Good Thing, UK;;;
24h every 1-3 day for 13 week ;PRJEB77409;ERR14783465;Illumina NovaSeq 6000, paired-end;Every Good Thing, UK;;;
24h every 1-3 day for 17 week ;PRJEB77409;ERR14783466;Illumina NovaSeq 6000, paired-end;Every Good Thing, UK;;;
24h every 1-3 day for 5 week ;PRJEB77409;ERR14783473;Illumina NovaSeq 6000, paired-end;Every Good Thing, UK;;;
