ERR11865276,6388,_128_cov_4.000000
ERR11865278,8766,_128_cov_3.000000
ERR11865284,15528,_128_cov_7.000000
ERR11865286,14874,_128_cov_1.000000
ERR11865288,7238,_128_cov_6.000000
ERR11865290,9901,_128_cov_8.000000
ERR11865292,8845,_128_cov_4.000000
ERR11865294,7941,_128_cov_1.000000
ERR11865296,9605,_128_cov_4.000000
ERR11865298,13251,_128_cov_4.000000
ERR11865300,11126,_128_cov_16.000000
ERR11865302,10702,_128_cov_3.000000
ERR11865304,9931,_128_cov_8.000000
ERR11865305,10882,_128_cov_3.000000
ERR11865306,8141,_128_cov_5.000000
ERR11865307,9367,_128_cov_7.000000
ERR11865308,8519,_128_cov_6.000000
ERR11865310,10421,_128_cov_9.000000
ERR11865312,6936,_128_cov_9.000000
ERR11865314,9706,_128_cov_11.000000
ERR11865316,14952,_128_cov_2.000000
ERR11865318,13722,_128_cov_1.000000
ERR11865320,11276,_128_cov_1.000000
ERR11865322,19552,_128_cov_3.000000
ERR11865324,10256,_128_cov_1.000000
ERR11865326,14908,_128_cov_3.000000
ERR11865328,16872,_128_cov_1.000000
ERR11865330,16071,_128_cov_3.000000
ERR11865332,20776,_128_cov_3.000000
ERR11865334,22320,_128_cov_2.000000
ERR11865335,16366,_128_cov_4.000000
ERR11865336,12423,_128_cov_4.000000
ERR11865338,10080,_128_cov_8.000000
ERR11865340,20464,_128_cov_4.000000
ERR11865342,17798,_128_cov_11.000000
ERR11865344,10302,_128_cov_13.000000
ERR11865346,12347,_128_cov_4.000000
ERR11865348,10248,_128_cov_2.000000
ERR11865350,20689,_128_cov_2.000000
ERR11865352,5072,_128_cov_2.000000
ERR11865354,7992,_128_cov_14.000000
ERR11865356,9966,_128_cov_7.000000
ERR11865358,11149,_128_cov_2.000000
ERR11865359,5472,_128_cov_5.000000
ERR11865360,6989,_128_cov_4.000000
ERR11865362,3609,_128_cov_6.000000
ERR11865364,6925,_128_cov_4.000000
ERR11865367,12219,_128_cov_3.000000
ERR11865369,8365,_128_cov_26.000000
ERR11865371,9194,_128_cov_24.000000
ERR11865373,2879,_128_cov_41.000000
ERR11865375,12096,_128_cov_5.000000
ERR11865377,9270,_128_cov_6.000000
ERR11865379,4125,_128_cov_6.000000
ERR11865381,11792,_128_cov_1.000000
ERR11865383,9162,_128_cov_7.000000
ERR11865385,9582,_128_cov_6.000000
ERR11865387,4263,_128_cov_3.000000
ERR11865389,6260,_128_cov_11.000000
ERR11865391,4429,_128_cov_3.000000
ERR11865393,6791,_128_cov_9.000000
ERR11865395,5033,_128_cov_3.000000
ERR11865397,8197,_128_cov_9.000000
ERR11865399,3798,_128_cov_9.000000
ERR11865401,3347,_128_cov_10.000000
ERR11865403,6995,_128_cov_4.000000
ERR11865405,9095,_128_cov_11.000000
ERR11865407,12183,_128_cov_5.000000
ERR11865409,2466,_128_cov_55.000000
ERR11865411,8899,_128_cov_7.000000
ERR11865413,19130,_128_cov_4.000000
ERR11865415,22654,_128_cov_3.000000
ERR11865417,10604,_128_cov_7.000000
ERR11865419,8795,_128_cov_4.000000
ERR11865421,400,_128_cov_1.000000
ERR11865423,211,_128_cov_6.000000
ERR11865425,6059,_128_cov_11.000000
ERR11865427,9136,_128_cov_8.000000
ERR11865429,2863,_128_cov_4.000000
ERR11865431,7364,_128_cov_7.000000
ERR11865433,13819,_128_cov_11.000000
ERR11865435,11844,_128_cov_4.000000
ERR11865437,21410,_128_cov_2.000000
ERR11865439,23462,_128_cov_4.000000
ERR11865441,12502,_128_cov_7.000000
ERR11865443,13162,_128_cov_7.000000
ERR11865445,6603,_128_cov_9.000000
ERR11865447,1543,_128_cov_5.000000
ERR11865449,13671,_128_cov_3.000000
ERR11865451,17988,_128_cov_6.000000
ERR11865453,12579,_128_cov_5.000000
ERR11865455,16776,_128_cov_6.000000
ERR11865457,1769,_128_cov_4.000000
ERR11865459,4958,_128_cov_4.000000
ERR11865461,17119,_128_cov_4.000000
ERR11865463,20271,_128_cov_3.000000
ERR11865465,11890,_128_cov_8.000000
ERR11865467,5961,_128_cov_5.000000
ERR11865469,29872,_128_cov_1.000000
ERR11865471,33082,_128_cov_3.000000
ERR11865473,11112,_128_cov_1.000000
ERR11865475,6226,_128_cov_7.000000
ERR11865477,313,_128_cov_7.000000
ERR11865479,193,_128_cov_1.000000
ERR11865481,9897,_128_cov_5.000000
ERR11865483,12343,_128_cov_3.000000
ERR11865485,11592,_128_cov_14.000000
ERR11865487,5019,_128_cov_3.000000
